buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
255000;2260;Kaunas, Senamiestis, Šv. Gertrūdos g.;112.81;3
81000;1136;Druskininkų m., Veisiejų g.;71.3;3
91000;2459;Kaunas, Šilainiai, J. Grušo g.;37;1
25000;1058;Širvintų m., Zibalų g.;23.63;1
265000;3136;Klaipėda, Centras, J. Zauerveino g.;84.5;3
430000;5890;Vilnius, Naujamiestis, Mindaugo g.;73;3
287000;3706;Vilnius, Naujamiestis, Vinco Kudirkos g.;77.45;3
89900;1404;Rietavo m., Daržų g.;64.01;3
110000;7161;Neringos m., Vilų g.;15.36;1
155000;2686;Utenos m., Aukštakalnis, Aukštakalnio g.;57.7;2
91000;1287;Kaunas, Rokai, Girmuonio g.;70.69;4
95000;2111;Klaipėda, Žvejybos uostas, Minijos g.;45;2
69500;1565;Kaunas, Dainava, Partizanų g.;44.4;2
199000;3980;Vilnius, Šeškinė, Fabijoniškių g.;50;2
78000;1926;Vilnius, Žemieji Paneriai, Vaduvos g.;40.5;1
23000;688;Kėdainių m., Sodų g.;33.45;2
72000;2118;Kaunas, Žaliakalnis, P. Višinskio g.;34;2
52000;1042;Kėdainių m., Pavasario g.;49.9;2
19900;552;Visagino m., Taikos pr.;36.08;1
62000;1161;Šiauliai, Rėkyva, Energetikų g.;53.42;2
16500;807;Klaipėda, Žvejybos uostas, Minijos g.;20.44;1
89500;1462;Elektrėnų m., Šviesos g.;61.2;3
53000;1023;Širvintų m., Kalnalaukio g.;51.82;2
196000;2781;Vilnius, Pilaitė, I. Simonaitytės g.;70.48;2
24700;682;Kaišiadorių r. sav., Pravieniškių k., Pravieniškių g.;36.2;1
28000;490;Šilutės r. sav., Armalėnų k., Plytinės g.;57.16;3
50000;1000;Kelmės m., J. Janonio g.;50;2
55000;1082;Švenčionių r. sav., Pabradės m., Arnionių g.;50.81;3
275000;5896;Palanga, Palanga, Užkanavės g.;46.64;3
109000;2124;Vilnius, Justiniškės, Rygos g.;51.33;2
76800;1274;Kretingos m., Topolių aklg.;60.27;3
55800;1250;Elektrėnų m., Sodų g.;44.63;2
65800;1161;Elektrėnų m., Sodų g.;56.69;3
72000;1241;Šiauliai, Zokniai, Radviliškio g.;58;3
440000;4000;Vilnius, Naujamiestis, Vasario 16-osios g.;110;4
29000;517;Vilkaviškio r. sav., Paežerių k., Dvaro g.;56.07;3
58000;870;Alytus, Vidzgiris, Jazminų g.;66.69;3
114900;2128;Vilnius, Šeškinė, Ukmergės g.;54;2
300000;6512;Neringos m., Preilos g.;46.07;2
38000;2375;Vilnius, Naujoji Vilnia, Pergalės g.;16;1
